,Rating,CocoaPercentage
0,3.75,63.0
1,2.75,70.0
2,3.0,70.0
3,3.5,70.0
4,3.5,70.0
5,2.75,70.0
6,3.5,70.0
7,3.5,70.0
8,3.75,70.0
9,4.0,70.0
10,2.75,70.0
11,3.0,70.0
12,3.25,70.0
13,3.75,70.0
14,2.75,70.0
15,3.0,70.0
16,3.25,70.0
17,4.0,70.0
18,3.25,70.0
19,3.5,70.0
20,4.0,63.0
21,3.5,70.0
22,3.75,63.0
23,3.75,70.0
24,3.75,70.0
25,2.75,60.0
26,3.25,80.0
27,3.5,88.0
28,3.5,72.0
29,2.75,55.0
30,3.0,70.0
31,3.0,70.0
32,3.75,75.0
33,2.75,75.0
34,2.75,75.0
35,2.75,65.0
36,2.75,75.0
37,3.0,75.0
38,2.5,75.0
39,2.5,75.0
40,3.5,70.0
41,3.5,70.0
42,3.5,70.0
43,3.5,70.0
44,2.75,60.0
45,3.0,60.0
46,2.5,60.0
47,2.5,60.0
48,2.75,60.0
49,2.5,60.0
50,3.0,60.0
51,3.25,80.0
52,3.0,60.0
53,3.25,60.0
54,4.0,70.0
55,3.75,70.0
56,4.0,70.0
57,3.0,70.0
58,3.0,70.0
59,2.75,70.0
60,3.5,70.0
61,3.0,70.0
62,3.75,70.0
63,3.0,70.0
64,2.75,70.0
65,2.75,85.0
66,3.0,85.0
67,3.25,72.0
68,3.5,73.0
69,3.0,64.0
70,3.25,66.0
71,3.25,75.0
72,3.25,63.0
73,3.25,70.0
74,3.5,68.0
75,3.75,70.0
76,4.0,70.0
77,4.0,75.0
78,5.0,70.0
79,3.0,70.0
80,3.0,70.0
81,3.5,70.0
82,3.75,70.0
83,4.0,70.0
84,3.5,70.0
85,3.5,63.0
86,5.0,70.0
87,4.0,66.0
88,3.25,75.0
89,2.75,85.0
90,3.75,50.0
91,3.75,75.0
92,4.0,60.0
93,3.0,75.0
94,3.5,75.0
95,3.0,75.0
96,2.5,72.0
97,2.75,75.0
98,3.0,75.0
99,3.5,70.0
100,3.75,70.0
101,3.5,73.0
102,3.25,70.0
103,3.25,70.0
104,3.5,70.0
105,3.75,70.0
106,3.5,70.0
107,4.0,70.0
108,4.0,70.0
109,3.75,70.0
110,3.25,70.0
111,3.25,73.0
112,3.5,70.0
113,3.5,68.0
114,3.75,70.0
115,3.5,70.0
116,3.75,70.0
117,4.0,70.0
118,2.75,75.0
119,3.25,70.0
120,3.5,75.0
121,3.25,72.0
122,3.75,72.0
123,4.0,72.0
124,2.75,72.0
125,1.75,100.0
126,3.75,72.0
127,3.25,72.0
128,3.25,72.0
129,3.5,72.0
130,2.5,75.0
131,2.75,72.0
132,1.75,72.0
133,3.0,80.0
134,3.0,75.0
135,3.25,72.0
136,3.75,72.0
137,2.75,72.0
138,3.75,68.0
139,3.75,72.0
140,3.75,70.0
141,3.75,77.0
142,2.5,75.0
143,3.0,70.0
144,3.25,80.0
145,3.5,70.0
146,3.0,70.0
147,2.5,70.0
148,2.5,70.0
149,2.75,70.0
150,3.5,70.0
151,3.5,70.0
152,4.0,70.0
153,3.25,70.0
154,3.5,70.0
155,3.75,70.0
156,2.75,80.0
157,3.5,65.0
158,3.75,70.0
159,3.25,65.0
160,3.0,73.0
161,3.25,72.0
162,2.75,80.0
163,2.75,70.0
164,2.75,70.0
165,2.75,90.0
166,2.75,64.0
167,2.75,64.0
168,2.75,64.0
169,3.5,71.0
170,3.5,70.0
171,3.25,70.0
172,3.5,70.0
173,2.75,83.0
174,3.0,78.0
175,3.5,83.0
176,3.5,74.0
177,3.5,74.0
178,3.5,74.0
179,4.0,73.0
180,4.0,72.0
181,3.75,72.0
182,2.75,55.0
183,3.0,64.0
184,3.0,88.0
185,3.5,72.0
186,4.0,72.0
187,3.25,70.0
188,3.25,74.0
189,3.5,64.0
190,3.5,72.0
191,2.5,76.0
192,2.5,76.0
193,2.5,78.0
194,3.25,86.0
195,3.5,72.0
196,3.25,75.0
197,3.75,70.0
198,2.75,65.0
199,3.0,70.0
200,3.0,78.0
201,3.0,75.0
202,3.5,65.0
203,3.25,75.0
204,3.5,65.0
205,3.0,71.0
206,3.5,75.0
207,3.75,68.0
208,3.0,70.0
209,2.75,70.0
210,2.75,70.0
211,3.0,70.0
212,2.75,70.0
213,3.5,82.0
214,2.75,72.0
215,3.5,82.0
216,2.75,75.0
217,3.5,75.0
218,3.0,75.0
219,3.5,70.0
220,3.75,70.0
221,3.5,75.0
222,4.0,75.0
223,3.25,75.0
224,3.75,65.0
225,3.5,75.0
226,3.25,75.0
227,3.5,75.0
228,3.5,75.0
